	Creature 	CR 	AC 	hp
	Yochlol	10	15	136
	Young Amethyst Dragon	9	18	168
	Young Black Dragon	7	18	127
	Young Blue Dragon	9	18	152
	Young Brass Dragon	6	17	110
	Young Bronze Dragon	8	18	142
	Young Copper Dragon	7	17	119
	Young Crystal Dragon	5	15	95
	Young Deep Dragon	5	16	93
	Young Dragon Turtle	10	19	178
	Young Emerald Dragon	8	17	142
	Young Gold Dragon	10	18	178
	Young Green Dragon	8	18	136
	Young Kruthik	1/8	16	9
	Young Moonstone Dragon	8	18	144
	Young Red Dragon	10	18	178
	Young Red Shadow Dragon	13	18	178
	Young Remorhaz	5	14	93
	Young Sapphire Dragon	9	17	157
	Young Sea Serpent	8	16	123
	Young Silver Dragon	9	18	168
	Young Topaz Dragon	7	17	127
	Young White Dragon	6	17	133
	Yuan-ti Abomination	7	15	127
	Yuan-ti Anathema	12	16	189
	Yuan-ti Broodguard	2	14	45
	Yuan-ti Malison	3	12	66
	Yuan-ti Mind Whisperer	4	14	71
	Yuan-ti Nightmare Speaker	4	14	71
	Yuan-ti Pit Master	5	14	88
	Yuan-ti Pureblood	1	11	40
	Zaratan	22	21	307
	Zargon the Returner	17	18	253
	Zariel	26	21	420
	Zombie	1/4	8	22
	Zuggtmoy	23	18	304
